sp,postri,family,order,q0.025,q0.05,q0.25,q0.5,q0.75,q0.95,q0.975,crosscount
Streptopelia_decaocto,0.0316801374596404,Columbidae,COLUMBIFORMES,-0.49822315,-0.4246676,-0.1644592,0.02607829,0.2150128,0.496105,0.58733495,2
Agapornis_canus,-0.971789012387612,Psittacidae,PSITTACIFORMES,-1.616803,-1.471094,-1.145878,-0.9446094,-0.7652921,-0.5083224,-0.41616355,7
Agapornis_fischeri,-0.669778044762438,Psittacidae,PSITTACIFORMES,-1.3086705,-1.197325,-0.8586845,-0.6387456,-0.4445362,-0.1778149,-0.10382685,7
Agapornis_lilianae,-0.639485718867133,Psittacidae,PSITTACIFORMES,-1.356828,-1.16271,-0.8216419,-0.5958709,-0.4053102,-0.180235,-0.09400849,7
Agapornis_nigrigenis,-0.642237747503397,Psittacidae,PSITTACIFORMES,-1.3211305,-1.220274,-0.8179884,-0.6144275,-0.4353606,-0.2012315,-0.14347655,7
Agapornis_personatus,-0.70658194955045,Psittacidae,PSITTACIFORMES,-1.276005,-1.180458,-0.8921269,-0.6919456,-0.5100053,-0.2275706,-0.16220725,8
Agapornis_pullarius,-0.983337284415584,Psittacidae,PSITTACIFORMES,-1.572623,-1.488654,-1.171357,-0.9753513,-0.7899591,-0.5067687,-0.43339425,7
Alisterus_amboinensis,0.145584720393207,Psittacidae,PSITTACIFORMES,-0.7179265,-0.6124512,-0.1531689,0.1457521,0.4890023,0.9852254,1.1205175,1
Ara_ararauna,0.527456299938022,Psittacidae,PSITTACIFORMES,-0.2994441,-0.1549916,0.2170114,0.5226613,0.792311,1.194175,1.369364,1
Melopsittacus_undulatus,-0.101919032056913,Psittacidae,PSITTACIFORMES,-0.7706557,-0.6736956,-0.3202919,-0.09945842,0.1174621,0.4115103,0.4977147,2
Platycercus_caledonicus,-0.399005681437862,Psittacidae,PSITTACIFORMES,-1.1450305,-1.025312,-0.6355071,-0.3632417,-0.117061,0.2715211,0.38436875,1
Platycercus_elegans,-0.273572520125674,Psittacidae,PSITTACIFORMES,-1.130183,-1.005208,-0.611759,-0.3188919,-0.04716018,0.3335354,0.44491685,1
